fname,label,fpath,rpath
2021-11-07--10-28-16-767.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-07--10-28-16-767.jpg,Blue Jay/2021-11-07--10-28-16-767.jpg
2021-11-07--10-28-17-311.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-07--10-28-17-311.jpg,Blue Jay/2021-11-07--10-28-17-311.jpg
2021-11-08--11-58-29-841.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-29-841.jpg,Blue Jay/2021-11-08--11-58-29-841.jpg
2021-11-08--11-58-30-925.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-30-925.jpg,Blue Jay/2021-11-08--11-58-30-925.jpg
2021-11-08--11-58-31-465.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-31-465.jpg,Blue Jay/2021-11-08--11-58-31-465.jpg
2021-11-08--11-58-32-541.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-32-541.jpg,Blue Jay/2021-11-08--11-58-32-541.jpg
2021-11-08--11-58-33-076.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-33-076.jpg,Blue Jay/2021-11-08--11-58-33-076.jpg
2021-11-08--11-58-33-625.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-33-625.jpg,Blue Jay/2021-11-08--11-58-33-625.jpg
2021-11-08--11-58-34-165.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-34-165.jpg,Blue Jay/2021-11-08--11-58-34-165.jpg
2021-11-08--11-58-34-703.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-34-703.jpg,Blue Jay/2021-11-08--11-58-34-703.jpg
2021-11-08--11-58-35-242.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-35-242.jpg,Blue Jay/2021-11-08--11-58-35-242.jpg
2021-11-08--11-58-35-779.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-35-779.jpg,Blue Jay/2021-11-08--11-58-35-779.jpg
2021-11-08--11-58-36-316.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-36-316.jpg,Blue Jay/2021-11-08--11-58-36-316.jpg
2021-11-08--11-58-36-851.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-36-851.jpg,Blue Jay/2021-11-08--11-58-36-851.jpg
2021-11-08--11-58-37-920.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-37-920.jpg,Blue Jay/2021-11-08--11-58-37-920.jpg
2021-11-08--11-58-38-468.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-38-468.jpg,Blue Jay/2021-11-08--11-58-38-468.jpg
2021-11-08--11-58-38-999.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-38-999.jpg,Blue Jay/2021-11-08--11-58-38-999.jpg
2021-11-08--11-58-39-542.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-39-542.jpg,Blue Jay/2021-11-08--11-58-39-542.jpg
2021-11-08--11-58-40-075.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-40-075.jpg,Blue Jay/2021-11-08--11-58-40-075.jpg
2021-11-08--11-58-40-612.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-40-612.jpg,Blue Jay/2021-11-08--11-58-40-612.jpg
2021-11-08--11-58-41-146.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-41-146.jpg,Blue Jay/2021-11-08--11-58-41-146.jpg
2021-11-08--11-58-41-686.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-41-686.jpg,Blue Jay/2021-11-08--11-58-41-686.jpg
2021-11-08--11-58-42-222.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-42-222.jpg,Blue Jay/2021-11-08--11-58-42-222.jpg
2021-11-08--11-58-42-756.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-42-756.jpg,Blue Jay/2021-11-08--11-58-42-756.jpg
2021-11-08--11-58-43-832.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-43-832.jpg,Blue Jay/2021-11-08--11-58-43-832.jpg
2021-11-08--11-58-44-370.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\2021-11-08--11-58-44-370.jpg,Blue Jay/2021-11-08--11-58-44-370.jpg
Blue_Jay_0002_62657.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0002_62657.jpg,Blue Jay/Blue_Jay_0002_62657.jpg
Blue_Jay_0009_62873.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0009_62873.jpg,Blue Jay/Blue_Jay_0009_62873.jpg
Blue_Jay_0010_61939.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0010_61939.jpg,Blue Jay/Blue_Jay_0010_61939.jpg
Blue_Jay_0011_63660.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0011_63660.jpg,Blue Jay/Blue_Jay_0011_63660.jpg
Blue_Jay_0013_61463.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0013_61463.jpg,Blue Jay/Blue_Jay_0013_61463.jpg
Blue_Jay_0015_62916.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0015_62916.jpg,Blue Jay/Blue_Jay_0015_62916.jpg
Blue_Jay_0017_62854.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0017_62854.jpg,Blue Jay/Blue_Jay_0017_62854.jpg
Blue_Jay_0018_63455.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0018_63455.jpg,Blue Jay/Blue_Jay_0018_63455.jpg
Blue_Jay_0020_63604.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0020_63604.jpg,Blue Jay/Blue_Jay_0020_63604.jpg
Blue_Jay_0022_63074.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0022_63074.jpg,Blue Jay/Blue_Jay_0022_63074.jpg
Blue_Jay_0024_63167.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0024_63167.jpg,Blue Jay/Blue_Jay_0024_63167.jpg
Blue_Jay_0027_63133.jpg,Blue Jay,C:\Users\micah\rig-uni\bird-ID-2\data\all_data\Blue Jay\Blue_Jay_0027_63133.jpg,Blue Jay/Blue_Jay_0027_63133.jpg
